"popularity","vote_count","video","poster_path","id","adult","backdrop_path","original_language","original_title","title","vote_average","overview","release_date","imdb_id","budget","revenue","runtime","homepage","tagline","genre","production_company","production_country","genres","production_companies","production_countries","keywords"
"11.981","1034","False","/y6BzUkrx789OhVMDXZiBBVHu6OQ.jpg","4836","False","/neSLpxwG5TWNzCPDUIZ9kbl2bOL.jpg","en","Layer Cake","Layer Cake","7.0","When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...","2004-09-30","tt0375912","6500000.0","11850214.0","105.0","http://www.sonypictures.co.uk/homevideo/layercake/index.html","","Drama","Marv Films","United Kingdom","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'id': 5374, 'logo_path': '/8dgIXEObpRYixczGSpyW9rgnN53.png', 'name': 'Marv Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","[{'id': 212, 'name': 'london, england'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 1941, 'name': 'ecstasy'}, {'id': 2149, 'name': 'drug traffic'}, {'id': 2150, 'name': 'cocaine'}, {'id': 2235, 'name': 'drug mule'}, {'id': 2708, 'name': 'hitman'}, {'id': 3045, 'name': 'mission of murder'}, {'id': 3149, 'name': 'gangster'}, {'id': 3152, 'name': 'planned murder'}, {'id': 3391, 'name': 'drug smuggle'}, {'id': 9826, 'name': 'murder'}, {'id': 14766, 'name': 'cafe'}, {'id': 14819, 'name': 'violence'}, {'id': 15219, 'name': 'rooftop'}, {'id': 34117, 'name': 'cult film'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 243801, 'name': 'crack head'}]"
"10.527","1043","False","/3eaNh9o4idemfhnWGt95mBJks9H.jpg","38778","False","/qiX6NXakuUQqZsEj60AfZj1tWRb.jpg","en","Dinner for Schmucks","Dinner for Schmucks","5.6","Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.","2010-07-30","tt0427152","69000000.0","86387857.0","114.0","http://www.dinnerforschmucks.com/","Takes One To Know One.","Comedy","Everyman Pictures","United States of America","[{'id': 35, 'name': 'Comedy'}]","[{'id': 2242, 'logo_path': None, 'name': 'Everyman Pictures', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 158, 'logo_path': '/6SHlNIype9zmyEMRsBtoueUtLsq.png', 'name': 'Spyglass Entertainment', 'origin_country': 'US'}, {'id': 6733, 'logo_path': None, 'name': 'Reliance Big Entertainment', 'origin_country': ''}, {'id': 11084, 'logo_path': None, 'name': 'Parkes/MacDonald Productions', 'origin_country': ''}, {'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 2161, 'name': 'mouse'}, {'id': 2415, 'name': 'idiot'}, {'id': 9678, 'name': 'mind control'}, {'id': 9719, 'name': 'taxidermy'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}]"
"14.2","3186","False","/sDT2biSB7wzBJdXq9o3ldr7VfvY.jpg","2034","False","/A1S9fBzc4Wepc6onnCd9eVR2FLp.jpg","en","Training Day","Training Day","7.4","On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.","2001-10-05","tt0139654","45000000.0","104876233.0","122.0","","The only thing more dangerous than the line being crossed, is the cop who will cross it.","Action","WV Films II","Australia","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 24939, 'logo_path': None, 'name': 'WV Films II', 'origin_country': ''}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': ''}, {'id': 19507, 'logo_path': None, 'name': 'Outlaw Productions (I)', 'origin_country': ''}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 383, 'name': 'poker'}, {'id': 387, 'name': 'california'}, {'id': 796, 'name': 'police brutality'}, {'id': 1601, 'name': 'war on drugs'}, {'id': 2149, 'name': 'drug traffic'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 8045, 'name': 'russian mafia'}, {'id': 11734, 'name': 'police corruption'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 33426, 'name': 'gang member'}, {'id': 155716, 'name': 'rookie cop'}, {'id': 155799, 'name': 'narcotics cop'}, {'id': 164253, 'name': 'mexican american'}, {'id': 183637, 'name': 'barrio'}, {'id': 206318, 'name': 'cholo'}, {'id': 207268, 'name': 'neo-noir'}]"
"9.087","995","False","/9XJ1RICUVM8nxSHFphl5c6ZyQtH.jpg","208134","False","/qPxbuKexc8842G6rPrQb3PV9cKq.jpg","en","Jackass Presents: Bad Grandpa","Jackass Presents: Bad Grandpa","6.0","86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.","2013-10-22","tt3063516","15000000.0","151831537.0","92.0","","Real people. Real reactions. Real messed up.","Comedy","Paramount","United States of America","[{'id': 35, 'name': 'Comedy'}]","[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 746, 'logo_path': '/kc7bdIVTBkJYy9aDK1QDDTAL463.png', 'name': 'MTV Films', 'origin_country': 'US'}, {'id': 6328, 'logo_path': None, 'name': 'Dickhouse Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 179431, 'name': 'duringcreditsstinger'}]"
"8.163","775","False","/cS3QPtMsE1jsEWUww5WsPE275Jb.jpg","10779","False","/naGsxof4OVpWQJn1qd9sTwUvYPI.jpg","en","The Frighteners","The Frighteners","6.8","Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.","1996-07-18","tt0116365","30000000.0","29359216.0","110.0","","No Rest for the Wicked.","Horror","WingNut Films","New Zealand","[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 456, 'name': 'mother'}, {'id': 798, 'name': 'sheriff'}, {'id': 934, 'name': 'judge'}, {'id': 1415, 'name': 'small town'}, {'id': 1812, 'name': 'fbi'}, {'id': 2301, 'name': 'architect'}, {'id': 3202, 'name': 'con man'}, {'id': 3350, 'name': 'poltergeist'}, {'id': 3739, 'name': 'funeral'}, {'id': 4129, 'name': 'widow'}, {'id': 4553, 'name': 'black humor'}, {'id': 4663, 'name': 'lovers'}, {'id': 5280, 'name': 'ghost world'}, {'id': 5600, 'name': 'daughter'}, {'id': 6152, 'name': 'supernatural'}, {'id': 6154, 'name': 'hell'}, {'id': 9826, 'name': 'murder'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11187, 'name': 'grim reaper'}, {'id': 11454, 'name': 'scam'}, {'id': 12193, 'name': 'reporter'}, {'id': 13005, 'name': 'doctor'}, {'id': 13063, 'name': 'car accident'}, {'id': 14780, 'name': 'investigator'}, {'id': 33476, 'name': 'widower'}, {'id': 34117, 'name': 'cult film'}, {'id': 156661, 'name': 'threat'}, {'id': 157701, 'name': 'psychotic'}, {'id': 158086, 'name': 'recluse'}, {'id': 162846, 'name': 'ghost'}, {'id': 166512, 'name': 'graveyard'}, {'id': 173224, 'name': 'multiple murders'}, {'id': 187288, 'name': 'army sergeant'}, {'id': 214801, 'name': 'spooky'}, {'id': 230191, 'name': 'haunted'}]"
"15.326","591","False","/hhPBTAn9b4TYOxc1JYNsX4BFAlW.jpg","300681","False","/9gjvI20crsLvsmQ2DjvMIATnDHC.jpg","en","Replicas","Replicas","5.9","A scientist becomes obsessed with returning his family to normalcy after a terrible accident.","2018-10-25","tt4154916","30000000.0","8100000.0","107.0","https://replicasmovie.com","Some humans are unstoppable","Thriller","Di Bonaventura Pictures","United States of America","[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'Di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 7193, 'logo_path': None, 'name': 'Company Films', 'origin_country': 'US'}, {'id': 81985, 'logo_path': None, 'name': 'Ocean Park Entertainment', 'origin_country': 'PR'}, {'id': 76314, 'logo_path': '/oFiHo3350Nj7bi6oxYMq3Kp6VGC.png', 'name': 'Riverstone Pictures', 'origin_country': ''}, {'id': 89845, 'logo_path': None, 'name': 'Remstar Studios', 'origin_country': 'US'}, {'id': 55244, 'logo_path': '/6tjtQvghRRXFmCsuN8SsKJW6cIm.png', 'name': 'Fundamental Films', 'origin_country': 'CN'}, {'id': 74208, 'logo_path': '/rZU9oUWZ66ns44vLmqVmeNrGATs.png', 'name': 'Lotus Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'PR', 'name': 'Puerto Rico'}]","[{'id': 10124, 'name': 'laboratory'}, {'id': 13063, 'name': 'car accident'}, {'id': 18035, 'name': 'family'}, {'id': 156810, 'name': 'science'}, {'id': 161219, 'name': 'consciousness'}, {'id': 161294, 'name': 'biologist'}, {'id': 250089, 'name': 'synthetic'}, {'id': 250090, 'name': 'neuro-scientist'}, {'id': 250091, 'name': 'police task force'}]"
"10.848","843","False","/50KGpMiIvSkF4WHOgp0gM6r6sMU.jpg","289222","False","/rE6W3KHdIuTdgRDLOOOMR3gfGgc.jpg","en","The Zookeeper's Wife","The Zookeeper's Wife","7.4","The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.","2017-03-31","tt1730768","20000000.0","23299081.0","126.0","http://www.focusfeatures.com/thezookeeperswife/","They gave all they had to save all they could","Drama","Scion Films","Czech Republic","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'id': 7419, 'logo_path': None, 'name': 'Scion Films', 'origin_country': 'GB'}, {'id': 20473, 'logo_path': None, 'name': 'Czech Anglo Productions', 'origin_country': ''}, {'id': 10285, 'logo_path': '/5jxaT7zoJKtnwqxniiJ9iJLsJru.png', 'name': 'LD Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 1739, 'name': 'holocaust (shoah)'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2606, 'name': 'jew / jewish'}, {'id': 2652, 'name': 'nazi'}, {'id': 5565, 'name': 'biography'}, {'id': 12971, 'name': 'zookeeper'}, {'id': 21747, 'name': 'poland'}]"
"8.391","452","False","/3iU9KLIhvc3pdl1SkeD0gv4BO0f.jpg","127560","False","/6AGU1BJZthZ8WGNHiLeI0NjR3ie.jpg","en","The Railway Man","The Railway Man","6.9","A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.","2013-12-02","tt2058107","18000000.0","22320893.0","116.0","","Revenge is never a straight line.","Drama","Archer Street Productions","Australia","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'id': 1471, 'logo_path': None, 'name': 'Archer Street Productions', 'origin_country': ''}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 3207, 'logo_path': None, 'name': 'Pictures in Paradise', 'origin_country': ''}, {'id': 15577, 'logo_path': None, 'name': 'Latitude Media', 'origin_country': ''}, {'id': 15578, 'logo_path': None, 'name': 'Thai Occidental Productions', 'origin_country': ''}, {'id': 12075, 'logo_path': None, 'name': 'Silver Reel', 'origin_country': 'CH'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","[{'id': 447, 'name': 'post traumatic stress  disorder'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4399, 'name': 'victim'}, {'id': 6683, 'name': 'autobiography'}, {'id': 9672, 'name': 'based on a true story'}, {'id': 9682, 'name': 'history'}, {'id': 9748, 'name': 'revenge'}, {'id': 11436, 'name': 'redemption'}, {'id': 13006, 'name': 'torture'}]"
"8.994","224","False","/4VXECCSovzeF3TxpPnKs8L193FS.jpg","540","False","/1QAHb5SEhhSQ01dvaweVWFJcFzW.jpg","en","D.E.B.S.","D.E.B.S.","5.8","The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.","2004-01-21","tt0367631","3500000.0","0.0","91.0","","Evil is so totally busted!","Action","Destination Films","United States of America","[{'id': 28, 'name': 'Action'}]","[{'id': 769, 'logo_path': '/j8zjbr6CzgiOj4kdtkTkwjdn0b3.png', 'name': 'Destination Films', 'origin_country': 'US'}, {'id': 3287, 'logo_path': '/bz6GbCQQXGNE56LTW9dwgksW0Iw.png', 'name': 'Screen Gems', 'origin_country': 'US'}, {'id': 10039, 'logo_path': '/b8w4LldQolMKiLZw4FQJBcXSDGI.png', 'name': 'Anonymous Content', 'origin_country': 'US'}, {'id': 2313, 'logo_path': None, 'name': 'Andrea Sperling Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 1862, 'name': 'coming out'}, {'id': 10185, 'name': 'covert operation'}, {'id': 11322, 'name': 'female protagonist'}, {'id': 11524, 'name': 'in the closet'}, {'id': 158718, 'name': 'lgbt'}, {'id': 158747, 'name': 'metrosexual'}, {'id': 158748, 'name': 'subversion'}, {'id': 158750, 'name': 'female agent'}, {'id': 158752, 'name': 'schoolgirl uniform'}, {'id': 158753, 'name': 'punk rocker'}, {'id': 158758, 'name': 'lip synching'}, {'id': 158761, 'name': 'plaid'}, {'id': 158763, 'name': 'thesis'}, {'id': 158764, 'name': 'german girl'}, {'id': 158765, 'name': 'french girl'}, {'id': 187056, 'name': 'woman director'}, {'id': 193285, 'name': 'spy spoof'}]"
"14.791","37","False","/azdrerXeyr2Aofr7p9osEWnz05g.jpg","41280","False","/qPCI9SZmHXmeG6OK367r9GvkuGl.jpg","en","Private Lessons","Private Lessons","5.8","Phillip Filmore is a naive, 15-year-old, preoccupied with sex, who develops a crush on Nicole Mallow, the new 30-something, French housekeeper and sitter to look after him when Phillip's father is out of town for the summer on a ""business"" trip. But Mr. Filmore's unscrupulous chauffeur, Lester Lewis, takes advantage of Phillip's crush on Nicole to hire her to seduce the youth, then draws her into a plot to fake her own death in a blackmail scheme aimed to drain Phillip's trust fund.","1981-08-21","tt0082948","2800000.0","26279000.0","87.0","","When EMANUELLE's Sylvia Kristel is your teacher the bedroom is the classroom","Comedy","Jensen Farley Pictures","United States of America","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 4664, 'logo_path': None, 'name': 'Jensen Farley Pictures', 'origin_country': ''}, {'id': 11616, 'logo_path': None, 'name': 'Barry & Enright Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 472, 'name': 'bathroom'}, {'id': 572, 'name': 'sex'}, {'id': 1936, 'name': 'blackmail'}, {'id': 2072, 'name': 'chauffeur'}, {'id': 2201, 'name': 'first time'}, {'id': 11190, 'name': 'sexual attraction'}, {'id': 11262, 'name': 'statutory rape'}, {'id': 14794, 'name': 'lust'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 41404, 'name': 'sexual desire'}, {'id': 155532, 'name': 'fatal attraction'}, {'id': 157799, 'name': 'older woman younger man relationship'}, {'id': 162804, 'name': 'sexual awakening'}, {'id': 211291, 'name': 'sex lesson'}]"
